,rank,sequence_length,hidden_size,num_layers,lr,grad_clip,val_MAE,MAE_calm,MAE_clustering,MAE_spikes
0,1,20,64,1,0.0005,0.5,0.004219,0.00286,0.008079,0.009979
1,2,30,64,2,0.001,0.5,0.004228,0.002948,0.007597,0.008271
2,3,20,32,2,0.0005,1.0,0.004229,0.002763,0.00771,0.010274
3,4,10,64,2,0.001,0.5,0.004238,0.002633,0.007917,0.01557
4,5,30,32,1,0.0005,0.5,0.004242,0.003222,0.007692,0.007998
5,6,10,64,1,0.001,1.0,0.004256,0.002953,0.007769,0.01756
6,7,30,32,1,0.0005,1.0,0.004258,0.003638,0.007453,0.011747
7,8,10,32,2,0.001,0.5,0.004259,0.003092,0.007872,0.017102
8,9,30,64,1,0.001,1.0,0.004265,0.003282,0.00771,0.008965
9,10,30,64,1,0.001,0.5,0.004268,0.003368,0.007885,0.009068
10,11,30,64,2,0.0005,0.5,0.00427,0.003457,0.007637,0.009955
11,12,30,64,1,0.0005,0.5,0.004275,0.003193,0.007747,0.008245
12,13,30,32,1,0.001,0.5,0.004279,0.003373,0.007818,0.007842
13,14,20,32,1,0.001,1.0,0.00428,0.003509,0.007633,0.011777
14,15,30,64,2,0.0005,1.0,0.00428,0.003314,0.007734,0.009094
15,16,10,64,1,0.0005,0.5,0.004289,0.003174,0.007794,0.016764
16,17,20,32,2,0.001,1.0,0.004289,0.003331,0.007922,0.010612
17,18,30,32,2,0.001,1.0,0.004291,0.003347,0.007823,0.008099
18,19,20,64,1,0.0005,1.0,0.004293,0.003284,0.007647,0.010506
19,20,20,32,2,0.001,0.5,0.004293,0.003125,0.007886,0.010084
20,21,20,64,2,0.001,1.0,0.004297,0.00341,0.007685,0.010909
21,22,20,64,1,0.001,1.0,0.004302,0.003417,0.007754,0.010161
22,23,30,32,1,0.001,1.0,0.004307,0.003409,0.007628,0.008303
23,24,20,64,2,0.0005,1.0,0.004315,0.003405,0.007847,0.009899
24,25,20,32,1,0.001,0.5,0.004323,0.00363,0.007733,0.014118
25,26,20,64,2,0.001,0.5,0.004324,0.003292,0.007569,0.010517
26,27,20,64,2,0.0005,0.5,0.004335,0.00318,0.007778,0.009616
27,28,20,32,1,0.0005,0.5,0.00434,0.003481,0.007675,0.009827
28,29,10,64,1,0.0005,1.0,0.00434,0.003181,0.007801,0.017019
29,30,30,32,2,0.001,0.5,0.004345,0.003809,0.007611,0.011832
30,31,10,32,1,0.0005,1.0,0.004346,0.003314,0.007799,0.015749
31,32,30,32,2,0.0005,1.0,0.004348,0.003772,0.00786,0.009385
32,33,10,32,1,0.001,0.5,0.004358,0.003433,0.007871,0.016019
33,34,10,64,1,0.001,0.5,0.004364,0.003348,0.007602,0.016793
34,35,10,32,2,0.0005,0.5,0.004365,0.00338,0.007766,0.01667
35,36,10,32,1,0.001,1.0,0.004365,0.003369,0.00782,0.0167
36,37,30,32,2,0.0005,0.5,0.004371,0.003572,0.007733,0.008292
37,38,10,64,2,0.001,1.0,0.004373,0.003372,0.007821,0.01593
38,39,10,32,1,0.0005,0.5,0.004375,0.003431,0.007939,0.016633
39,40,20,32,1,0.0005,1.0,0.004398,0.003521,0.007631,0.009935
40,41,30,64,2,0.001,1.0,0.004408,0.003742,0.007648,0.009747
41,42,10,64,2,0.0005,1.0,0.004409,0.0034,0.00779,0.016177
42,43,30,64,1,0.0005,1.0,0.00441,0.003775,0.007691,0.009395
43,44,20,64,1,0.001,0.5,0.004417,0.003704,0.007797,0.010881
44,45,10,64,2,0.0005,0.5,0.004425,0.003402,0.007863,0.016294
45,46,20,32,2,0.0005,0.5,0.004432,0.003678,0.007674,0.011041
46,47,10,32,2,0.001,1.0,0.004465,0.003687,0.007643,0.016175
47,48,10,32,2,0.0005,1.0,0.004488,0.003937,0.007833,0.017086
